id,fecha,iniciador,objetivo,provincia,fuente
579,2016-10-10,Oposicion,ISIS,Aleppo,Twitter
580,2015-05-20,Kurdistan Sirio,ISIS,Hasakeh,Media
581,2015-02-18,Kurdistan Sirio,ISIS,Aleppo,SOHR
582,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
583,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
584,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
585,2015-05-06,Kurdistan Sirio,ISIS,Aleppo,Media
586,2016-06-13,Kurdistan Sirio,ISIS,Aleppo,Media
587,2015-06-14,Kurdistan Sirio,ISIS,Raqqa,Media
588,2015-04-12,Kurdistan Sirio,ISIS,Aleppo,Media
589,2016-09-20,Oposicion,ISIS,Aleppo,SOHR
590,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
591,2015-02-28,Kurdistan Sirio,ISIS,Hasakeh,Media
592,2015-06-04,Kurdistan Sirio,ISIS,Raqqa,Media
593,2016-06-10,Kurdistan Sirio,ISIS,Aleppo,Media
594,2016-06-13,Kurdistan Sirio,ISIS,Aleppo,Media
595,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
596,2016-09-19,Oposicion,ISIS,Aleppo,SOHR
597,2016-09-19,Oposicion,ISIS,Aleppo,SOHR
598,2016-09-06,Oposicion,ISIS,Aleppo,Twitter
599,2015-06-14,Kurdistan Sirio,ISIS,Raqqa,Media
600,2016-10-11,Oposicion,ISIS,Aleppo,Twitter
601,2015-06-11,Kurdistan Sirio,ISIS,Raqqa,SOHR
602,2016-10-10,Oposicion,ISIS,Aleppo,Twitter
603,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
604,2016-10-09,CJTF-OIR,ISIS,Aleppo,SOHR
605,2015-03-02,Kurdistan Sirio,ISIS,Hasakeh,Media
606,2015-04-21,Kurdistan Sirio,ISIS,Aleppo,Media
